"Année","Code SINOE ISDND","Nom  ISDND","Téléphone","Fax","Date d'ouverture  ISDND","Adresse  ISDND","Adresse ISDND (suite)","Code postal ISDND","Commune  ISDND","Code commune ISDND","Libellé de la commune ISDND","Code du département ISDND","Nom de la région ISDND","Mode de gestion  ISDND","Géolocalisation  ISDND
Longitude (Mercator)","Géolocalisation  ISDND
Latitude (Mercator)","Géolocalisation  ISDND
 Indicateur qualité","Géolocalisation  ISDND
Niveau de précision","Code SINOE Exploitant","Nom Exploitant ","Code type SINOE Exploitant","Libellé type SINOE Exploitant","Adresse Exploitant","Adresse Exploitant (suite)","Code postal Exploitant","Bureau distributeur Exploitant","Téléphone Exploitant","Fax Exploitant","Capacité réglementaire ISDND","lat","lon"
2016,23241,"Bioréacteur de Labessière",,,"20/11/2006","les Courtials","Pôle des énergies Renouvelables",81300,"Labessière-Candeil","81117","Labessière-Candeil","81","Occitanie","Régie",228423,5431730,1,"Géolocalisation manuelle",3645,"Trifyl","04H","Syndicat mixte","Route de Sieurac",,81300,"Labessiere-candeil",563812300,563812301,180000,43.779268,2.050871
2016,106855,"Carrière-isdnd Amiante Saint-martin-du-tertre",130356416,130356813,"30/10/2014","Isdi Picheta Route Départementale 909",,95270,"Saint-Martin-du-Tertre","95566","Saint-Martin-du-Tertre","95","Ile-de-France",,259633,6291980,-1,"Centroïde de la commune",2654,"Picheta","05","Entreprises et artisans","13, route de Conflans","BP 60",95480,"Pierrelaye",134643434,134641451,40000,49.106237,2.345397
2016,41679,"Centre Stockage Badaroux Lozère",466499030,466499031,"01/07/2003","Redoundel",,48000,"Badaroux","48013","Badaroux","48","Occitanie","Régie",395544,5550360,-1,"Centroïde de la commune",1436,"Syndicat Départemental d'Energie et d'Equipement de la Lozère","04H","Syndicat mixte","12, Boulevard Henri Bourrillon",,48000,"Mende",466653501,466657779,24000,44.569317,3.52654
2016,6320,"Centre de Clerac",546040338,,"16/12/1996","le Bois Rousseau",,17270,"Clérac","17110","Clérac","17","Nouvelle-Aquitaine","Gestion privée",-25283.1,5649820,0.409572,"Géolocalisation effectuée - Qualité insuffisante",2951,"Sotrival","05","Entreprises et artisans","le Bois Rousseau",,17270,"CLERAC",546040338,546042634,185000,45.200016,-0.22913
2016,5537,"Centre de Sainte Severe",545805944,545658255,"01/02/1979","la Forêt de Jarnac",,16200,"Sainte-Sévère","16349","Sainte-Sévère","16","Nouvelle-Aquitaine","Délégation de service public",-28755.3,5742850,-1,"Centroïde de la commune",3881,"Aproval 16","05","Entreprises et artisans","Zi de la Braconne",,16600,"MORNAC",545659197,545659099,70000,45.754874,-0.285199
2016,93112,"Centre de Stockage  de Hitia'a-o-te-ra",,,"01/01/2012","Adresse Nc",,98705,"Hitia'a-O-Te-Ra","98722","Hitia'a-O-Te-Ra","987","Dom-Com","Gestion privée",-16631100,-1984500,-1,"Centroïde de la commune",45554,"Teraiharoa Edwin","05","Entreprises et artisans","Adresse Nc",,98705,"Hitia'a-O-Te-Ra",,,0,,
2016,94930,"Centre de Stockage Aire-sur-l'adour",558032138,558064838,"23/10/2013","Chemin du rouzet",,40800,"Aire-sur-l'Adour","40001","Aire-sur-l'Adour","40","Nouvelle-Aquitaine","Gestion privée",-30304.4,5418120,-1,"Centroïde de la commune",57417,"Terralia","05","Entreprises et artisans","Chemin du Rouzet",,40800,"Aire-sur-l'Adour",558032138,,62000,43.743847,-0.218511
2016,78206,"Centre de Stockage Kourou",,,,"Kourou - Zone Pariacabo",,97310,"Kourou","97304","Kourou","973","Dom-Com","Délégation de service public",-5870880,547859,-1,"Centroïde de la commune",56318,"Gaia","05","Entreprises et artisans","Chemin Moges",,97351,"Matoury",594346629,,20000,4.910723,-52.737962
2016,108306,"Centre de Stockage Milhac-d'auberoche",,,"20/11/2014","Lieu Dit Madaillan",,24330,"Milhac-d'Auberoche*","24270","Milhac-d'Auberoche*","24","Nouvelle-Aquitaine","Gestion privée",101824,5639070,1,"Géolocalisation effectuée - Qualité suffisante",39961,"Suez Rv Sud Ouest","05C","Industrie","31 Rue Thomas Edison","Cs 60072",33612,"Canéjan",557260202,557266052,110000,,
2016,109456,"Centre de Stockage Montblanc",,,"16/10/2015","Ecopole Vallasse",,34290,"Montblanc","34166","Montblanc","34","Occitanie","Gestion privée",373020,5374110,0.630949,"Géolocalisation effectuée - Qualité insuffisante",5899,"Coved Midi-Méditerranée","05","Entreprises et artisans","2, Rue Augustin Fresnel",,81100,"CASTRES",563720936,563724537,0,43.396203,3.366415
2016,93082,"Centre de Stockage Nuku-hiva",40910360,40920390,"01/01/2012","Bp N°28 - Taiohae",,98742,"Nuku-Hiva","98731","Nuku-Hiva","987","Dom-Com","Régie",-15599400,-981265,-1,"Centroïde de la commune",44874,"Commune de Nuku-Hiva","03C","Commune","Bp N° 28 Taiohae",,98742,"Nuku-hiva",40910360,40920390,0,,
2016,93107,"Centre de Stockage Punaruu (classe 2, Catégorie 3)",40541111,40583647,"02/09/1998","Vallée de la Panaruu",,98718,"Punaauia","98738","Punaauia","987","Dom-Com","Gestion privée",-16651500,-1991170,-1,"Centroïde de la commune",45517,"Tahiti Agrégats","05","Entreprises et artisans","Bp 380572",,98718,"Tamanu/punaauia",40541110,40583647,80000,,
2016,109463,"Centre de Stockage Rapa",,,,"Rapa - Archipel des Australes",,98751,"Rapa","98741","Rapa","987","Dom-Com","Régie",-16067400,-3200940,1,"Géolocalisation effectuée - Qualité suffisante",53018,"Commune de Rapa","03C","Commune","Ahurei",,98751,"Rapa",40957272,,0,,
2016,78204,"Centre de Stockage Saint-laurent",,,"01/01/2010","Saint Laurent - Piste Paul Isnard",,97360,"Saint-Laurent-du-Maroni","97311","Saint-Laurent-du-Maroni","973","Dom-Com","Régie",-6014720,552245,-1,"Centroïde de la commune",17952,"Communauté de Communes de l'Ouest Guyanais","04E","Communauté de communes","2, Rue Bruno Aubert","Za Gaston Césaire - Bp 36",97360,"Mana",594343494,594348337,13530,,
2016,109462,"Centre de Stockage Tubuai",,,,"Tubuai - Archipel des Australes",,98754,"Tubuai","98753","Tubuai","987","Dom-Com","Régie",-16639100,-2677200,1,"Géolocalisation effectuée - Qualité suffisante",53021,"Commune de Tubuai","03C","Commune","Bp N° 77 - Mataura",,98754,"Tubuai",40932400,,0,,
2016,109461,"Centre de Stockage Ua-pou",,,,"Ua Pou -  Archipel des Marquises",,98745,"Ua-Pou","98757","Ua-Pou","987","Dom-Com","Régie",-15591900,-1050600,1,"Géolocalisation effectuée - Qualité suffisante",53016,"Commune de Ua-Pou","03C","Commune","Bp N° 100",,98745,"Ua-pou",40915105,40915020,0,,
2016,93108,"Centre de Stockage de Bora-bora",689605800,689677442,"01/01/2011","Baie de Pahonu Faanui",,98730,"Bora-Bora","98714","Bora-Bora","987","Dom-Com","Marché de prestation de service",-16890600,-1853300,-1,"Centroïde de la commune",51994,"Polynésienne des Eaux","05","Entreprises et artisans","Bp 525",,98730,"Bora-bora",8940677087,8940677384,2530,,
2016,93104,"Centre de Stockage de Paihoro",8940547385,8940547386,"01/05/2000","Paihoro",,98722,"Taiarapu-Est","98747","Taiarapu-Est","987","Dom-Com","Marché de prestation de service",-16610600,-2003380,-1,"Centroïde de la commune",45515,"Enviropol","05","Entreprises et artisans","Bp 4644","Vallée de Tipaerui",98713,"Papeete",8940541400,8940541401,80000,,
2016,5475,"Centre de Stockage du Céron",596655334,596657407,"01/04/1984","Sainte-luce",,97228,"Sainte-Luce","97227","Sainte-Luce","972","Dom-Com","Régie",-6784650,1630580,-1,"Centroïde de la commune",7304,"Syndicat Martiniquais de Traitement et de Valorisation des Déchets (Smtvd)","04H","Syndicat mixte","Route de la Pointe Jean-claude",,97231,"le Robert",596655334,596657407,70000,14.49054,-60.946763
2016,41386,"Cet 2 Brametot",235577182,235577190,"01/01/1980","Route de Vénestanville",,76740,"Brametot","76140","Brametot","76","Normandie","Marché de prestation de service",96750.1,6408560,-1,"Centroïde de la commune",52182,"Valor'Caux Sas","05","Entreprises et artisans","Route de Vénestanville",,76740,"Brametot",235577182,235577190,45000,49.786928,0.875305
2016,62770,"Cet 2 Camopi",594300213,,"01/10/1997","Camopi",,97330,"Camopi","97356","Camopi","973","Dom-Com","Régie",-5880800,319389,-1,"Centroïde de la commune",17954,"Communauté de Communes de l'Est Guyanais","04E","Communauté de communes","8, Rue Urbain Goudet","Bp 20",97313,"Saint-georges",594280944,594370786,200,2.871222,-52.829346
2016,7071,"Cet 2 de Bellegarde",466011383,466010021,"01/07/2003","Route de Saint Gilles",,30127,"Bellegarde","30034","Bellegarde","30","Occitanie","Gestion privée",500504,5426570,-1,"Centroïde de la commune",6208,"Sita Fd Bellegarde","05","Entreprises et artisans","Lieu Dit Pichegu","Route de Saint Gilles",30127,"Bellegarde",466011383,466010021,90000,43.741696,4.487526
2016,7030,"Cet Grand'landes / la Vergne 2",251986414,,"02/05/1989","la Vergne",,85670,"Grand'Landes","85102","Grand'Landes","85","Pays de la Loire","Gestion privée",-184105,5916170,-1,"Centroïde de la commune",5379,"Geval","05","Entreprises et artisans","la Croix",,85670,"Grand'landes",251986414,251985009,80000,46.855004,-1.639986
2016,6514,"Cet2 Allemant",323535761,323539472,"06/08/1997","Vallée Guerbette",,2320,"Allemant","02010","Allemant","02","Hauts-de-France","Gestion privée",384234,6353890,-1,"Centroïde de la commune",6704,"Suez Rv Nord Est","05","Entreprises et artisans","17 Rue de Copenhague",,67300,"Schiltigheim",326846800,326846839,105000,49.464777,3.446557
2016,7345,"Cet2 Beine Nauroy",326047862,351425041,"01/01/1988","Lieu-dit le Grand Monfort",,51490,"Beine-Nauroy","51046","Beine-Nauroy","51","Grand-Est","Gestion privée",472338,6316520,-1,"Centroïde de la commune",5544,"Onyx Est","05","Entreprises et artisans","Lieu-dit le Grand Montfort",,51490,"Beine-nauroy",326047862,326047858,50000,49.24766,4.261303
2016,6744,"Cet2 Bergheim",,,"11/08/1993","Bergheim",,68750,"Bergheim","68028","Bergheim","68","Grand-Est","Gestion privée",814904,6142790,-1,"Centroïde de la commune",3161,"Recyclage de Matériaux Bergheim","05","Entreprises et artisans","Route de Rodern","BP 35",68750,"BERGHEIM",389730549,389730621,8000,48.204564,7.360712
2016,7130,"Cet2 Bourgneuf-en-mauges",241785757,241785957,"01/12/1991","Route de St Quentin en Mauges (d17)","Mauges-sur-loire",49290,"Bourgneuf-en-Mauges","49039","Bourgneuf-en-Mauges*","49","Pays de la Loire","Marché de prestation de service",-95994.6,5992850,-1,"Centroïde de la commune",6006,"Coved","05","Entreprises et artisans","Route de St Quentin","Bourgneuf-en-mauges",49290,"Mauges-sur-loire",241785797,241785957,12500,,
2016,6953,"Cet2 Capvern",562989936,562989958,"01/01/1981","3030 Rd 938","Pôle Environnemental de Capvern",65130,"Capvern","65127","Capvern","65","Occitanie","Régie",36905.3,5327940,-1,"Centroïde de la commune",28057,"Smtd 65","04H","Syndicat mixte","30, Avenue Saint-Exupéry",,65000,"TARBES",562384490,562381691,5000,43.101641,0.31631
2016,41579,"Cet2 Champteussé sur Baconne",241951326,241951371,"01/01/2005","Route de Sceaux",,49220,"Champteussé sur baconne","49067","Champteussé-sur-Baconne*","49","Pays de la Loire","Gestion privée",-72848.3,6052250,-1,"Centroïde de la commune",6717,"Société Exploitation Décharges Angevines (Seda)","05","Entreprises et artisans","Route de Sceaux","Champteussé sur Baconne",49220,"le Lion-d'angers",241951326,241951371,100000,47.664146,-0.666886
2016,7339,"Cet2 Domqueur",322242899,322314110,"01/01/1987","Domqueur",,80620,"Domqueur","80249","Domqueur","80","Hauts-de-France","Gestion privée",228388,6466230,-1,"Centroïde de la commune",5534,"Boinet Pierre S.A.","05","Entreprises et artisans","28, route nationale",,80132,"MIANNAY",322242899,322314110,60000,50.114377,2.048878
2016,6622,"Cet2 Gonfreville Etares",235260176,235261778,"02/07/2001","Route de l'Estuaire",,76700,"Gonfreville-l'Orcher","76305","Gonfreville-l'Orcher","76","Normandie","Gestion privée",28553.6,6357680,-1,"Centroïde de la commune",3908,"Etares","05","Entreprises et artisans","Port 1461","Route de l'Estuaire",76700,"Gonfreville-l'orcher",235261777,235261778,120000,49.498588,0.23141
2016,7203,"Cet2 Lihons",322839251,322854111,"01/11/2000","Lieu Dit Sole du Bosquet",,80320,"Lihons","80481","Lihons","80","Hauts-de-France","Gestion privée",307197,6416490,-1,"Centroïde de la commune",16631,"Gurdebeke","05","Entreprises et artisans","65, Boulevard Carnot",,60400,"Noyon",344932525,344932526,90000,49.823656,2.769788
2016,6023,"Cet2 Mons-boubert",322242899,322314110,"01/10/1993","RUE PIOCHEL",,80210,"MONS-BOUBERT","80556","Mons-Boubert","80","Hauts-de-France","Gestion privée",184976,6468130,-1,"Centroïde de la commune",5534,"Boinet Pierre S.A.","05","Entreprises et artisans","28, route nationale",,80132,"MIANNAY",322242899,322314110,57000,50.129606,1.659941
2016,28471,"Cet2 Saint Méen le Grand",,,"01/01/2005","Saint Méen le Grand",,35290,"Saint-Méen-le-Grand","35297","Saint-Méen-le-Grand","35","Bretagne","Marché de prestation de service",-240945,6139720,0.876637,"Géolocalisation effectuée - Qualité suffisante",5338,"Ets Théaud Maurice","05","Entreprises et artisans","Fahineuc",,35290,"Saint-Méen-le-Grand",299096296,299094126,25000,48.188968,-2.191212
2016,13848,"Cet2 St Martin",590522730,590528462,"01/01/2004","Saint Martin",,97150,"Saint-Martin","97801","Saint-Martin","978","Dom-Com","Régie",-7022630,2045220,1,"Géolocalisation manuelle",12121,"Collectivité d'Outre-mer de Saint Martin","03C","Commune","Hôtel de la Collectivité","Bp 374",97054,"Saint-martin Cedex",590522730,590528462,28000,,
2016,5517,"Cet2 Torcy (sita)",385730680,385552695,"03/04/1978","Route du Bois Morey",,71210,"Torcy","71540","Torcy","71","Bourgogne-Franche-Comté","Gestion privée",495612,5903730,-1,"Centroïde de la commune",3179,"Sita Centre Est (Torcy 71)","05","Entreprises et artisans","Route du Bois Morey",,71210,"Torcy",385730680,385552695,100000,46.787122,4.44567
2016,59487,"Cet2 de Huiron",326624051,326624052,"01/07/2008","Ecopole de la Cote Plate","Rd 14, Chemin des Beutiers",51300,"Huiron","51295","Huiron","51","Grand-Est","Gestion privée",498847,6222490,-1,"Centroïde de la commune",6704,"Suez Rv Nord Est","05","Entreprises et artisans","17 Rue de Copenhague",,67300,"Schiltigheim",326846800,326846839,100000,48.693628,4.48036
2016,7358,"Cet2 la Fermeté",616660719,,"01/01/1982","Lieu Dit Linière",,58160,"FERMETE","58112","La Fermeté","58","Bourgogne-Franche-Comté","Gestion privée",371535,5935290,-1,"Centroïde de la commune",5530,"Sade Compagnie Générale des Travaux d'Hydraulique","05","Entreprises et artisans","11 Rue des Perrieres",,58005,"Nevers Cedex",386930950,386930950,50000,46.965929,3.332745
2016,6971,"Ecoparc de Mercey (isdnd)",232526045,,"07/05/1974","Route Départementale 64",,27950,"Mercey","27399","Mercey","27","Normandie","Régie",155763,6289000,-1,"Centroïde de la commune",5732,"Setom (syndicat Etude Traitement Ordures Ménagères) de l'Eure","04H","Syndicat mixte","Vc6 Lieu-dit Saint Laurent","Bp 110",27930,"Guichainville",232234747,232234746,85000,49.079294,1.392993
2016,6749,"Isdnd Aix-en-provence",442999991,442938586,"01/01/1997","Isdnd de l'Arbois","Plateau de l'Arbois",13080,"Aix-en-Provence","13001","Aix-en-Provence","13","PACA","Marché de prestation de service",589616,5383860,1,"Géolocalisation manuelle",5519,"Delta Dechets","05","Entreprises et artisans","Chemin de la Palud",,84100,"Orange",490348043,490518157,180000,43.490988,5.332324
2016,78049,"Isdnd Alveol",555768830,555101127,"05/03/2009","Rd 675","Le pont chanart",87300,"Peyrat-de-Bellac","87116","Peyrat-de-Bellac","87","Nouvelle-Aquitaine","Régie",112908,5796280,1,"Géolocalisation manuelle",887,"Syndicat Mixte Departemental pour L Elimination des Dechets Menagers et Assimiles","04H","Syndicat mixte","19, Rue Cruveilhier","Bp 13 114",87031,"Limoges",555121287,555101127,80000,46.141743,1.035904
2016,5627,"Isdnd Ambert",473726772,473823717,"01/07/1985","le Poyet",,63600,"Ambert","63003","Ambert","63","Auvergne-Rhône-Alpes","Régie",417944,5708830,-1,"Centroïde de la commune",956,"Sivom d'Ambert","04B","SIVOM","Rue Anna Rodier",,63600,"Ambert",473823781,473823765,40000,45.51523,3.742427
2016,7052,"Isdnd Arcavi",324543257,,"01/07/1976","Cense Meunier","Route de Rocroi",8260,"Éteignières","08156","Éteignières","08","Grand-Est","Gestion privée",490808,6428530,0.783015,"Géolocalisation effectuée - Qualité insuffisante",5311,"Arcavi","05","Entreprises et artisans","Lieu Dit la Garoterie",,8160,"Chalandry-elaire",324378485,324564087,132000,49.903123,4.427766
2016,41296,"Isdnd Attainville",134061670,134061671,"01/01/2005","Chemin des Grands Fonds",,95570,"Attainville","95028","Attainville","95","Ile-de-France","Gestion privée",261909,6285170,-1,"Centroïde de la commune",5429,"Suez Recyclage et Valorisation - Sita Val'Horizon","05","Entreprises et artisans","25/25 Bis, Rd909, Cs 10009",,95335,"Domont",139353250,139919750,80000,49.048932,2.352058
2016,6954,"Isdnd Benac - Soval",562453532,562459997,"01/04/1972","Bois de Bécut",,65380,"Bénac","65080","Bénac","65","Occitanie","Gestion privée",6422.76,5335820,1,"Géolocalisation manuelle",5746,"Soval","05","Entreprises et artisans","Route Hibarette","Bois du Becut",65380,"Benac",562456097,562916422,100000,43.156306,0.057714
2016,6521,"Isdnd Berbiac",561696209,,"13/05/1998","Berbiac",,9500,"Manses","09180","Manses","09","Occitanie","Régie",201907,5325520,1,"Géolocalisation manuelle",822,"Smectom du Plantaurel","04H","Syndicat mixte","Las Plantos",,9120,"Varilhes",561680202,561695242,50000,43.088995,1.813501
2016,62664,"Isdnd Billy",231731289,231731385,"01/01/2000","le Mont Tornu",,14370,"Billy","14074","Billy*","14","Normandie","Gestion privée",-22253.3,6290130,-1,"Centroïde de la commune",7386,"Valnor","05","Entreprises et artisans","18/20  Rue Henri Rivière","Immeuble le Trident Bp 91013",76171,"Rouen Cedex 1",232085400,232085405,80000,,
2016,5451,"Isdnd Blaringhem",328439220,328432525,"01/05/1976","Lieu-dit les Prairies",,59173,"Blaringhem","59084","Blaringhem","59","Hauts-de-France","Gestion privée",269349,6564570,-1,"Centroïde de la commune",5087,"Baudelet Sas","05","Entreprises et artisans","Lieu Dit les Prairies",,59173,"Blaringhem",328439220,328432525,600000,50.691163,2.402433
2016,5846,"Isdnd Boves (veolia)",322095102,322096103,"01/02/1974","Cd 167",,80440,"Boves","80131","Boves","80","Hauts-de-France","Gestion privée",266117,6419560,1,"Géolocalisation effectuée - Qualité suffisante",3158,"Secode (Ikos)","05","Entreprises et artisans","Route de Sains",,80440,"Boves",322095102,322096103,200000,49.845273,2.390109
2016,46132,"Isdnd Bucy Saint Liphard",,,"01/11/2009","Csdu",,45140,"Bucy-Saint-Liphard","45059","Bucy-Saint-Liphard","45","Centre-Val de Loire","Gestion privée",195673,6097160,-1,"Centroïde de la commune",5318,"Soccoim (setrad)","05","Entreprises et artisans","Za les Pierrelets",,45380,"Chaingy",238466565,238466580,100000,47.935689,1.763845
2016,6745,"Isdnd Cannet-des-maures",494500222,494500224,"08/04/1974","Route de Saint Tropez",,83340,"Le Cannet-des-Maures","83031","Le Cannet-des-Maures","83","PACA","Gestion privée",708353,5367910,1,"Géolocalisation manuelle",5518,"Valteo","05","Entreprises et artisans","109 Rue Jean Aicard",,83300,"Draguignan",494505050,494508759,255000,43.372786,6.36715
2016,5827,"Isdnd Caupenne",558985757,558984988,"01/03/2005","815 route des partenses",,40250,"Caupenne","40078","Caupenne","40","Nouvelle-Aquitaine","Régie",-84025.5,5417280,-1,"Centroïde de la commune",1430,"Sietom de Chalosse","04H","Syndicat mixte","815 Route des Partenses",,40250,"Caupenne",558985757,558984988,46800,43.662617,-0.756931
2016,7007,"Isdnd Cauvicourt",231235831,231235866,"01/01/1997","Pôle Environnement de la Bruyère",,14190,"Cauvicourt","14145","Cauvicourt","14","Normandie","Gestion privée",-32564,6279410,-1,"Centroïde de la commune",56287,"Suez Rv Normandie (ex : Snn (sita Suez))","05","Entreprises et artisans","Rue de la Terre Adélie","Parc Edonia, Bâtiment T, Cs 86820",35760,"Saint-grégoire",223212300,223212310,300000,49.047322,-0.263357
2016,5524,"Isdnd Cayenne",594312786,594312786,"01/11/1994","Cayenne",,97300,"Cayenne","97302","Cayenne","973","Dom-Com","Gestion privée",-5824210,548472,-1,"Centroïde de la commune",3176,"Ets A Govindin","05","Entreprises et artisans","46, Av de la Liberte",,97300,"Cayenne",594307897,594311772,92000,4.921139,-52.320246
2016,5713,"Isdnd Celle-guenand",247949481,,"01/10/1978","Celle-guenand",,37350,"La Celle-Guenand","37044","La Celle-Guenand","37","Centre-Val de Loire","Régie",99609.9,5932780,-1,"Centroïde de la commune",5092,"Smictom du Sud Lochois","04H","Syndicat mixte","13, Rue Carnot",,37160,"Descartes",247929783,247929785,8000,46.943569,0.893681
2016,12987,"Isdnd Cet2-eroudeville- le Ham-ecausseville",233211769,233411952,"01/01/2004","4 Rue Saint Pierre",,50310,"Le Ham","50227","Le Ham","50","Normandie","Gestion privée",-156437,6353360,1,"Géolocalisation effectuée - Qualité suffisante",4026,"Spen Véolia Propreté","05","Entreprises et artisans","4, Rue Saint Pierre",,50310,"Ham",233211769,233411952,150000,49.455902,-1.409797
2016,7265,"Isdnd Champigny",386665520,386954105,"01/07/1982","Champigny",,89340,"Champigny","89074","Champigny","89","Bourgogne-Franche-Comté","Gestion privée",348884,6157450,-1,"Centroïde de la commune",5616,"Coved","05","Entreprises et artisans","3, Rue des Près de Lyon","Bp 4",10600,"Chapelle-saint-luc",325712400,325495411,50000,48.319153,3.126804
2016,5714,"Isdnd Chanceaux-pres-loches",247912850,247911990,"22/11/1990","la Baillaudière",,37600,"Chanceaux-près-Loches","37053","Chanceaux-près-Loches","37","Centre-Val de Loire","Gestion privée",104254,5964950,-1,"Centroïde de la commune",55976,"Coved 37","05","Entreprises et artisans","la Baillaudière",,37600,"Chanceaux-pres-loches",247912850,247911990,150000,47.13687,0.961184
