"Année","Code SINOE ISDND","Nom  ISDND","Téléphone","Fax","Date d'ouverture  ISDND","Adresse  ISDND","Adresse ISDND (suite)","Code postal ISDND","Commune  ISDND","Code commune ISDND","Libellé de la commune ISDND","Code du département ISDND","Nom de la région ISDND","Mode de gestion  ISDND","Géolocalisation  ISDND
2016,47957,"Isdnd Changé -la Cousinière",243596000,,"01/04/2003","la Cousinière","Parc d'Activité les Hêtres",53810,"Changé","53054","Changé","53","Pays de la Loire","Gestion privée",38002.2,6101360,0.647092,"Géolocalisation effectuée - Qualité insuffisante",2879,"Séché Eco-industries","05","Entreprises et artisans","les Hêtres","Cs 20020",53811,"Change",243596000,243596001,450000,48.125566,-0.850685
2016,5523,"Isdnd Chapelle-sur-oreuse",386974620,386976177,"01/07/1980","Chapelle-sur-oreuse",,89260,"La Chapelle-sur-Oreuse","89080","La Chapelle-sur-Oreuse","89","Bourgogne-Franche-Comté","Gestion privée",367092,6156080,-1,"Centroïde de la commune",5441,"Paprec Environnement Idf","05","Entreprises et artisans","7 Rue du Docteur Lancereaux",,75008,"Paris",142994328,142994324,60000,48.289131,3.307392
2016,5667,"Isdnd Chatenois",388929541,,"01/04/1979","Route de Saint-marie-aux-mines",,67730,"Châtenois","67073","Châtenois","67","Grand-Est","Régie",821608,6154170,-1,"Centroïde de la commune",1631,"Smictom d'Alsace Centrale","04H","Syndicat mixte","2, Rue des Vosges","Parc d'Activité Giessen",67750,"Scherwiller",388922719,388922701,20000,48.280115,7.389615
2016,5711,"Isdnd Chatillon-sur-indre",254386979,254386999,"01/01/1990","Chatillon-sur-indre",,36700,"Châtillon-sur-Indre","36045","Châtillon-sur-Indre","36","Centre-Val de Loire","Gestion privée",130743,5940920,-1,"Centroïde de la commune",2834,"Coved","05","Entreprises et artisans","275, Boulevard Marcel Paul",,44800,"Saint Herblain",247912854,247593297,70000,46.98707,1.173634
2016,5611,"Isdnd Chatuzange-le-goubet - Petits Pourcieux",475710675,,"09/07/1992","Papelissier,","810 Chemin des Taillandiers",26300,"Chatuzange-le-Goubet","26088","Chatuzange-le-Goubet","26","Auvergne-Rhône-Alpes","Gestion privée",567973,5622480,-1,"Centroïde de la commune",11831,"Veolia Proprete Rhin Rhône","05","Entreprises et artisans","Papelissier, 810 Chemin des Taillandiers",,26300,"CHATUZANGE LE GOUBET",475710675,475026449,185000,45.016604,5.125618
2016,108424,"Isdnd Chaumes en Retz",,,"01/01/2012","Route du Bignon - la Sicaudais","Chaumes en Retz",44320,"Arthon-en-Retz*","44005","Arthon-en-Retz*","44","Pays de la Loire","Marché de prestation de service",-217551,5967560,-1,"Centroïde de la commune",36588,"Geval (véolia Propreté)","05","Entreprises et artisans","Avenue Lotz Cossé","Bp 80132",44201,"Nantes Cédex 2",241969875,241969876,15800,47.182884,-1.944367
2016,6844,"Isdnd Chevilly",238915627,238755780,"06/11/1982","Lieu Dit les Chancellières","Route de Sainte Lyé la Forêt",45400,"Chanteau","45072","Chanteau","45","Centre-Val de Loire","Gestion privée",218778,6103340,-1,"Centroïde de la commune",5266,"Suez Rv Centre Ouest","05","Entreprises et artisans","Za de Conneuil","6, Rue Gaspard Monge",37270,"Montlouis-sur-loire",247358800,247358847,90000,47.963158,1.966905
2016,7324,"Isdnd Chezy",470467719,470445999,"01/07/1991","Rd 779","Lieu Dit Prends Y Garde",3230,"Chézy","03076","Chézy","03","Auvergne-Rhône-Alpes","Délégation de service public",385884,5879140,1,"Géolocalisation effectuée - Qualité suffisante",51722,"Coved Centre Est","05","Entreprises et artisans","33 Rue de Grillet",,3400,"Yzeure",470067283,470445999,65000,46.610705,3.466462
2016,6821,"Isdnd Claye-souilly",160270822,160270710,"28/09/1972","Angle Rn 3 - Cd 404",,77410,"Claye-Souilly","77118","Claye-Souilly","77","Ile-de-France","Gestion privée",304121,6267420,1,"Géolocalisation manuelle",5115,"Véolia Propreté - Routière de l'Est Parisien (Rep)","05","Entreprises et artisans","28, Boulevard de Pessaro",,92000,"Nanterre Cedex",155676000,139331600,1100000,48.941861,2.643621
2016,5663,"Isdnd Clermont-ferrand",473619810,473619757,"01/01/1959","Puy Long",,63000,"Clermont-Ferrand","63113","Clermont-Ferrand","63","Auvergne-Rhône-Alpes","Marché de prestation de service",345771,5746300,-1,"Centroïde de la commune",6736,"Veolia Proprete Onyx Auvergne Rhône Alpes","05","Entreprises et artisans","216 Avenue Jean Mermoz",,63039,"Clermont-ferrand Cedex",473983333,473983340,87000,45.762507,3.153554
2016,5628,"Isdnd Crepy-en-valois",344876310,344875435,"01/01/1978","Crepy-en-valois",,60800,"Crépy-en-Valois","60176","Crépy-en-Valois","60","Hauts-de-France","Gestion privée",322494,6315110,-1,"Centroïde de la commune",40966,"Suez Rv Idf","05","Entreprises et artisans","19-21 Rue Emile Duclaux",,92568,"Suresnes",140806714,140806721,120000,49.233833,2.887428
2016,5968,"Isdnd Curgies",327350375,327245322,"01/01/1971","Fort de Rochambeaux",,59990,"Curgies","59166","Curgies","59","Hauts-de-France","Gestion privée",401491,6502800,-1,"Centroïde de la commune",22966,"Suez Rv Nord Est","05","Entreprises et artisans","1 Rue Malfidano","Bâtiment 2",62950,"Noyelles-godault",321459110,,70000,50.328356,3.609218
2016,5754,"Isdnd Dannes",321332524,321304771,"13/01/1994","Rue des Tunnels",,62187,"Dannes","62264","Dannes","62","Hauts-de-France","Gestion privée",180804,6550090,1,"Géolocalisation effectuée - Qualité suffisante",22966,"Suez Rv Nord Est","05","Entreprises et artisans","1 Rue Malfidano","Bâtiment 2",62950,"Noyelles-godault",321459110,,120000,50.595884,1.62375
2016,6475,"Isdnd Drambon",380472040,380472041,"01/01/1998","Ecopôle des Grands Moulins",,21270,"Drambon","21233","Drambon","21","Bourgogne-Franche-Comté","Gestion privée",598789,5996780,-1,"Centroïde de la commune",6270,"Suez Rv Iws Minerals","05","Entreprises et artisans","Ecopole Grands Moulins",,21270,"Drambon",380472040,380472041,72000,47.32156,5.38671
2016,81487,"Isdnd Ecocentre la Tuilerie - Grisolles",323691022,323697250,"08/03/2010","2 Rue de la Tuilerie",,2210,"Grisolles","02356","Grisolles","02","Hauts-de-France","Marché de prestation de service",375766,6296900,-1,"Centroïde de la commune",7386,"Valnor","05","Entreprises et artisans","18/20  Rue Henri Rivière","Immeuble le Trident Bp 91013",76171,"Rouen Cedex 1",232085400,232085405,80000,49.125314,3.36724
2016,6995,"Isdnd Ecorpain",243358627,243358627,"26/02/1985","le Ganotin",,72120,"Écorpain","72125","Écorpain","72","Pays de la Loire","Délégation de service public",70794.5,6096880,-1,"Centroïde de la commune",26178,"Syner'val (veolia Recyclage et Valorisation des Déchets)","05","Entreprises et artisans","200 Bis Rue de l'Angevinière",,72027,"le Mans Cedex 2",243860150,243860250,11000,47.933446,0.60914
2016,6804,"Isdnd Embrun",642098835,,"01/01/1997","Embrun","Lieu-dit Pralong",5200,"Embrun","05046","Embrun","05","PACA","Marché de prestation de service",725307,5556520,1,"Géolocalisation manuelle",44388,"Valsud (veolia Proprete)","05","Entreprises et artisans","315 Avenue de l'Aérodrome",,5130,"Tallard",493536484,492537569,8550,44.564629,6.494324
2016,13151,"Isdnd Entraigues",490481182,490480730,"16/07/2001","Zac du Plan",,84320,"Entraigues-sur-la-Sorgue","84043","Entraigues-sur-la-Sorgue","84","PACA","Gestion privée",548701,5463220,1,"Géolocalisation manuelle",40484,"Suez Rv (vedène 84)","05","Entreprises et artisans","800 Av de Counoise","Cs 20220 Entraigues",84270,"Vedène",490481182,490480730,90000,43.986359,4.93147
2016,7107,"Isdnd Espira-de-l'agly",468383280,468385384,"01/01/1997","Mirandes Basses (les)","Route Départementale 117",66600,"Espira-de-l'Agly","66069","Espira-de-l'Agly","66","Occitanie","Gestion privée",314726,5281370,-1,"Centroïde de la commune",33669,"Svlr Groupe Veolia","05","Entreprises et artisans","Rd 117 - les Mirandes Basses",,66600,"Espira-de-l'agly",468383280,468385384,130000,42.775623,2.822928
2016,6541,"Isdnd Esquay-sur-Seulles",231222758,231222787,"22/07/1998","25 Route de Bayeux",,14400,"ESQUAY-SUR-SEULLES","14250","Esquay-sur-Seulles","14","Normandie","Gestion privée",-66858.6,6320670,-1,"Centroïde de la commune",5853,"Services Environnement Action","05","Entreprises et artisans","Quai de Normandie","Bp 126",14009,"Caen Cedex",231707180,231707185,65000,49.272866,-0.625719
2016,6750,"Isdnd Fare-les-oliviers",490454560,490454993,"01/01/1986","Chemin du Coussou Cd 19",,13580,"La Fare-les-Oliviers","13037","La Fare-les-Oliviers","13","PACA","Délégation de service public",580696,5399070,1,"Géolocalisation manuelle",33406,"Sma Vautubière Sas","05","Entreprises et artisans","Chemin du Coussou","Cd 19",13580,"La Fare-les-Oliviers",490454560,490454993,160000,43.572961,5.205905
2016,5856,"Isdnd Fauillet",553797211,553798331,"01/04/1993","Lieu dit lalanne de saint-Germain",,47400,"Fauillet","47095","Fauillet","47","Nouvelle-Aquitaine","Régie",32292,5531000,-1,"Centroïde de la commune",721,"Syndicat Mixte Intercommunal de Collecte et de Traitement des Ordures Ménagères Lot-garonne-baïse","04H","Syndicat mixte","17, Avenue du 11 Novembre",,47190,"Aiguillon",553798330,553798331,5000,44.432587,0.275627
2016,40886,"Isdnd Faverney",,,"03/10/2005","Favernay",,70160,"Faverney","70228","Faverney","70","Bourgogne-Franche-Comté","Gestion privée",677238,6068620,-1,"Centroïde de la commune",4909,"Suez Rv Centre Est","05","Entreprises et artisans","5, Rue de la Goulette","Bp 68",21850,"Saint-apollinaire",380729119,380731318,75000,47.767887,6.103345
2016,6871,"Isdnd Flavigny-le-grand-et-beaurain",323618301,323618304,"31/08/1998","Lieu-dit le Grand Royard",,2120,"Flavigny-le-Grand-et-Beaurain","02313","Flavigny-le-Grand-et-Beaurain","02","Hauts-de-France","Gestion privée",409092,6426720,-1,"Centroïde de la commune",33528,"Edifinord","05","Entreprises et artisans","Lieu-dit le Grand Royard",,2120,"Flavigny-le-grand-et-beaurain",323618301,323618304,100000,49.890812,3.663276
2016,79786,"Isdnd Fontaine-lès-clerval",,,"15/04/2008","la Grange Certier",,25340,"Fontaine-lès-Clerval","25246","Fontaine-lès-Clerval","25","Bourgogne-Franche-Comté","Gestion privée",721126,6011290,-1,"Centroïde de la commune",4909,"Suez Rv Centre Est","05","Entreprises et artisans","5, Rue de la Goulette","Bp 68",21850,"Saint-apollinaire",380729119,380731318,85000,47.409223,6.441188
2016,5738,"Isdnd Fouju",160699302,160699302,"01/01/1995","D215",,77390,"FOUJU","77195","Fouju","77","Ile-de-France","Gestion privée",307821,6205240,-1,"Centroïde de la commune",5115,"Véolia Propreté - Routière de l'Est Parisien (Rep)","05","Entreprises et artisans","28, Boulevard de Pessaro",,92000,"Nanterre Cedex",155676000,139331600,85000,48.588215,2.77895
2016,78201,"Isdnd Gardanne",,,"06/06/1986","Gardanne","la Malespine",13120,"Gardanne","13041","Gardanne","13","PACA","Gestion privée",611945,5381270,1,"Géolocalisation manuelle",5557,"Semag","05","Entreprises et artisans","1480 Avenue d'Arménie",,13120,"Gardanne",442657720,442657727,53000,43.454029,5.475256
2016,5798,"Isdnd Ginasservis",494801129,494041886,"26/07/1979","Ginasservis","Lieu-dit Pied de Chèvre",83560,"Ginasservis","83066","Ginasservis","83","PACA","Régie",653173,5416220,1,"Géolocalisation manuelle",4085,"Syndicat Intercommunal pour la Valorisation et l'Elimination des Dechets Nouvelle Génération","04","Structure intercommunale","Quartier de Paris Hall 5","174 Route de le Val Cs 70325",83175,"Brignoles",498052353,498052356,21600,43.670852,5.848042
2016,6778,"Isdnd Gournay",254061500,254061501,"01/02/1997","9, Montipeneau",,36230,"Gournay","36084","Gournay","36","Centre-Val de Loire","Gestion privée",193125,5876500,-1,"Centroïde de la commune",5101,"Seg","05","Entreprises et artisans","9, Montipeneau",,36230,"Gournay",254061500,254061501,85000,46.605307,1.741317
2016,6360,"Isdnd Grand'jean Saint-quentin-sur-isere",476271172,,"01/01/1972","Grand'jean","Grand'jean",38210,"Saint-Quentin-sur-Isère","38450","Saint-Quentin-sur-Isère","38","Auvergne-Rhône-Alpes","Gestion privée",616149,5664770,-1,"Centroïde de la commune",3115,"Lely Environnement","05","Entreprises et artisans","37 Rue Pierre Sémard","Bp 64",38602,"FONTAINE CEDEX",476271172,476530131,150000,45.278906,5.541025
2016,5521,"Isdnd Granges",385479388,385479434,"01/01/1980","la Teppe Pernin",,71390,"Granges","71225","Granges","71","Bourgogne-Franche-Comté","Gestion privée",529491,5899160,-1,"Centroïde de la commune",6596,"Véolia Propeté Valest - Granges","05","Entreprises et artisans","2 Chemin Juillet","la Teppe Pernin",71390,"Granges",385479388,385479434,130000,46.737088,4.757749
2016,6057,"Isdnd Gueltas",,,"30/10/1995","Branguily",,56920,"Gueltas","56072","Gueltas","56","Bretagne","Gestion privée",-313412,6121520,-1,"Centroïde de la commune",3095,"Sita Ouest","05","Entreprises et artisans","Pibs","Allée Gabriel Lippmann",56000,"Vannes",297267094,297262668,195000,48.08351,-2.835989
2016,6807,"Isdnd Guitrancourt",130935050,130935216,"25/06/1984","Route Départementale 190",,78440,"Issou","78314","Issou","78","Ile-de-France","Délégation de service public",199056,6272890,-1,"Centroïde de la commune",4279,"Sarp Industries","05","Entreprises et artisans","Zone Portuaire de Limay-porcheville","451 Route d'Azay",78520,"Limay",134972500,134772209,220000,48.987772,1.794884
2016,5786,"Isdnd Hasparren",559294062,559442645,"01/04/1996","Route de Pegna",,64240,"Hasparren","64256","Hasparren","64","Nouvelle-Aquitaine","Délégation de service public",-148568,5372170,-1,"Centroïde de la commune",39961,"Suez Rv Sud Ouest","05C","Industrie","31 Rue Thomas Edison","Cs 60072",33612,"Canéjan",557260202,557266052,72000,43.398536,-1.294107
2016,7198,"Isdnd Herbignac",240199070,,"02/07/1992","Kéraline",,44410,"Herbignac","44072","Herbignac","44","Pays de la Loire","Régie",-258106,6016130,-1,"Centroïde de la commune",4433,"Communauté d'Agglomération de la Presqu'île de Guérande Atlantique","04G","Communauté d'agglomération","3, Avenue des Noëlles","Bp 64",44503,"Baule-escoublac",251769616,251769620,8500,47.462304,-2.293215
2016,5454,"Isdnd Hersin-coupigny",321278707,321659740,"08/11/1977","Carrière Loisne",,62530,"Hersin-Coupigny","62443","Hersin-Coupigny","62","Hauts-de-France","Gestion privée",294047,6523680,-1,"Centroïde de la commune",22966,"Suez Rv Nord Est","05","Entreprises et artisans","1 Rue Malfidano","Bâtiment 2",62950,"Noyelles-godault",321459110,,500000,50.445375,2.616019
2016,6536,"Isdnd Isigny le Buat",233585010,233587291,"13/01/1998","la Butte",,50540,"Isigny-le-Buat","50256","Isigny-le-Buat","50","Normandie","Gestion privée",-131429,6211420,-1,"Centroïde de la commune",56287,"Suez Rv Normandie (ex : Snn (sita Suez))","05","Entreprises et artisans","Rue de la Terre Adélie","Parc Edonia, Bâtiment T, Cs 86820",35760,"Saint-grégoire",223212300,223212310,65000,48.6441,-1.196512
2016,6820,"Isdnd Isles-les-meldeuses",164355139,164354248,"01/01/1951","La Payelle",,77440,"ISLES-LES-MELDEUSES","77231","Isles-les-Meldeuses","77","Ile-de-France","Gestion privée",335817,6274570,-1,"Centroïde de la commune",5086,"Sabliere Capoulade","05","Entreprises et artisans","La Payelle",,77440,"ISLES-LES-MELDEUSES",164355139,164354248,220000,49.003224,3.029047
2016,6513,"Isdnd Jurassien de Courlaoux Csj",384353872,384353873,"06/04/1998","Courlaoux",,39570,"Courlaoux","39171","Courlaoux","39","Bourgogne-Franche-Comté","Régie",606445,5888060,-1,"Centroïde de la commune",5306,"Sydom Syndicat Départemental de Traitement des Om du Jura","04H","Syndicat mixte","350 Rue René Maire",,39000,"Lons le Saunier",384474441,384240147,32700,46.667201,5.460682
2016,6860,"Isdnd Lantic",,,"01/07/1980","Fontaine Trémargat",,22410,"Lantic","22117","Lantic","22","Bretagne","Marché de prestation de service",-324417,6208390,-1,"Centroïde de la commune",25397,"Cnim Ouest Armor","05","Entreprises et artisans","Site du Quelven",,22140,"Pluzunet",296359393,396359721,14000,48.590839,-2.916875
2016,7079,"Isdnd Lavaur",563418301,563419355,"01/01/1982","les Brugues",,81500,"Lavaur","81140","Lavaur","81","Occitanie","Délégation de service public",208232,5416990,1,"Géolocalisation manuelle",5299,"Coved","05","Entreprises et artisans","777 Avenue des Terres Noires",,81370,"Saint-sulpice",563418301,563419355,75000,43.676974,1.735299
2016,5679,"Isdnd Lewarde",327873616,327970925,"13/11/1989","636 Rue Dervaux",,59287,"Lewarde","59345","Lewarde","59","Hauts-de-France","Gestion privée",352921,6505880,-1,"Centroïde de la commune",22966,"Suez Rv Nord Est","05","Entreprises et artisans","1 Rue Malfidano","Bâtiment 2",62950,"Noyelles-godault",321459110,,160000,50.340432,3.173546
2016,7204,"Isdnd Liancourt-saint-pierre",344491656,344490079,"01/01/2001","Liancourt-saint-pierre",,60240,"Liancourt-Saint-Pierre","60361","Liancourt-Saint-Pierre","60","Hauts-de-France","Gestion privée",212602,6314780,-1,"Centroïde de la commune",40966,"Suez Rv Idf","05","Entreprises et artisans","19-21 Rue Emile Duclaux",,92568,"Suresnes",140806714,140806721,100000,49.234328,1.907185
2016,7133,"Isdnd Louroux-beconnais",241774514,,"01/01/1988","la Courterie",,49370,"Le Louroux-Béconnais","49183","Le Louroux-Béconnais*","49","Pays de la Loire","Régie",-100071,6026940,-1,"Centroïde de la commune",2237,"Syctom du Loire Beconnais et Ses Environs","04H","Syndicat mixte","2 Place de la Mairie",,49370,"le Louroux Beconnais",241774926,,9000,47.488107,-0.882061
2016,5499,"Isdnd Maillet",470067283,470067230,"01/01/1974","Lieu Dit Villenue",,3190,"Maillet*","03158","Maillet*","03","Auvergne-Rhône-Alpes","Gestion privée",296812,5860000,-1,"Centroïde de la commune",5497,"Coved","05","Entreprises et artisans","Lieu-dit Villenue",,3190,"Maillet",470067283,470067230,90000,46.474732,2.638501
2016,65267,"Isdnd Martigues",442454298,,"01/11/2008","Vallon du Fou","Chemin des Olives - Lavéra",13500,"Martigues","13056","Martigues","13","PACA","Régie",560595,5370020,1,"Géolocalisation manuelle",57013,"Métropole Aix-marseille Provence","04I","Métropole","le Pharo","58, Boulevard Charles-livon",13007,"Marseille",491135600,491135601,70000,43.38264,5.041364
2016,106175,"Isdnd Mendixka",559192290,559442645,"22/09/2014","Lieu-Dit ""larrascacoplaça""",,64130,"Charritte-de-Bas","64187","Charritte-de-Bas","64","Nouvelle-Aquitaine","Régie",-98657.7,5356980,1,"Géolocalisation effectuée - Qualité suffisante",17018,"Syndicat Bil Ta Garbi","04H","Syndicat mixte","7 Rue Joseph Latxague","Bp 28555",64185,"Bayonne",559442644,559442645,16000,43.29156,-0.89578
2016,5782,"Isdnd Miremont",473797041,473797589,"28/10/1983","le Milliazeix",,63380,"Miremont","63228","Miremont","63","Auvergne-Rhône-Alpes","Marché de prestation de service",301731,5765100,-1,"Centroïde de la commune",1526,"Sictom de Pontaumur-Pontgibaud","04A","SIVU","Rue du Commerce",,63230,"Pontgibaud",473731683,473731705,15000,45.931099,2.719077
2016,5855,"Isdnd Monflanquin",553365521,553798626,"01/01/1980","Lieu dit l'Albié",,47150,"Monflanquin","47175","Monflanquin","47","Nouvelle-Aquitaine","Régie",84158.4,5544830,-1,"Centroïde de la commune",41498,"Valorizon","04H","Syndicat mixte","17, Avenue du 11 Novembre",,47190,"Aiguillon",553799161,553798626,29000,44.493028,0.762555
2016,5606,"Isdnd Monistrol-sur-loire",471756030,471756031,"01/01/1977","Perpezoux",,43120,"Monistrol-sur-Loire","43137","Monistrol-sur-Loire","43","Auvergne-Rhône-Alpes","Marché de prestation de service",466445,5666480,-1,"Centroïde de la commune",4783,"Moulin Sa","05","Entreprises et artisans","Za du Rousset",,43120,"Monistrol-sur-loire",471756030,471756031,23000,45.279577,4.224328
2016,7022,"Isdnd Montech",563231300,563231309,"18/04/1988","3525 Route de Lavilledieu",,82700,"Montech","82125","Montech","82","Occitanie","Gestion privée",136890,5463890,1,"Géolocalisation manuelle",5355,"Drimm Sas","05","Entreprises et artisans","3525, Route de la Ville Dieu","Bp 19",82700,"MONTECH",563231300,563231309,325000,43.96786,1.233181
2016,5673,"Isdnd Monthyon",139331500,139331600,"28/10/1964","Rn 330","la Croix Gillet",77122,"MONTHYON","77309","Monthyon","77","Ile-de-France","Gestion privée",315354,6276500,-1,"Centroïde de la commune",5115,"Véolia Propreté - Routière de l'Est Parisien (Rep)","05","Entreprises et artisans","28, Boulevard de Pessaro",,92000,"Nanterre Cedex",155676000,139331600,100000,49.007188,2.826412
2016,6990,"Isdnd Montmirail",243719911,243719799,"01/07/1978","les Vaugarniers",,72320,"Montmirail","72208","Montmirail","72","Pays de la Loire","Gestion privée",86005.4,6124780,-1,"Centroïde de la commune",5326,"Nci Environnement","05","Entreprises et artisans","4 Rte Allonnes","Zi Sud",72100,"Mans",243502510,243502515,90000,48.108508,0.766049
2016,5464,"Isdnd Montreuil-sur-barse",325412905,325415191,"18/06/1986","Côte de la Beuverie",,10270,"Montreuil-sur-Barse","10255","Montreuil-sur-Barse","10","Grand-Est","Gestion privée",477625,6143130,-1,"Centroïde de la commune",26880,"Véolia Propeté Valest Metz","05","Entreprises et artisans","76 Avenue A Malraux",,57000,"Metz",387651600,387651650,100000,48.216031,4.271914
2016,94940,"Isdnd Mur-de-sologne",254839572,,"02/03/2011","Za de l'Aumône",,41230,"Mur-de-Sologne","41157","Mur-de-Sologne","41","Centre-Val de Loire","Gestion privée",178284,6011610,-1,"Centroïde de la commune",5318,"Soccoim (setrad)","05","Entreprises et artisans","Za les Pierrelets",,45380,"Chaingy",238466565,238466580,45000,47.428781,1.560153
2016,6454,"Isdnd Naujac-sur-mer",,556581810,"01/09/1990","1 rue de la grange",,33990,"Naujac-sur-Mer","33300","Naujac-sur-Mer","33","Nouvelle-Aquitaine","Régie",-118996,5662290,-1,"Centroïde de la commune",2114,"Syndicat Medocain Intercom pour la Collecte et le Traitement des Ordures Menageres en Medoc","04H","Syndicat mixte","20 Zone d'Activité du Treytin",,33112,"Saint-laurent-medoc",556732740,556732741,35000,45.281453,-0.996412
2016,5858,"Isdnd Nicole",553794905,553798626,"01/12/1980","104 Rd 813 Bp 69",,47190,"Nicole","47196","Nicole","47","Nouvelle-Aquitaine","Régie",37554.3,5516610,-1,"Centroïde de la commune",41498,"Valorizon","04H","Syndicat mixte","17, Avenue du 11 Novembre",,47190,"Aiguillon",553799161,553798626,30000,44.323849,0.334935
