Catégorie aliment;Aliment;Etape;  quantité  ; unité ;%;  tCO2eq  ;  valeur M€  
Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits;Production; 300 000  ;tonnes de blé;6.0%; 126 000  ; 50  
Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits;Transformation; 295 000  ;tonnes de farine;6.0%; 202 000  ; 50  
Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits;Distribution; 304 000  ;tonnes de farine;10.0%; 543 000  ; 1 088  
Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits;Consommation; 240 000  ;tonnes de pain;8.0%; 365 000  ; 830  
Grandes cultures;Blé tendre – Farine - Pain - Viennoiseries – Biscottes et biscuits;Total; 1 340 000  ;tonnes de blé;27.0%; 1 236 000  ; 2 000  
Grandes cultures;Blé dur – Semoules – Pâtes;Production; 100 000  ;tonnes de blé;6.0%; 69 000  ; 42  
Grandes cultures;Blé dur – Semoules – Pâtes;Transformation; 46 300  ;tonnes de produits;8.0%; 44 000  ; 48  
Grandes cultures;Blé dur – Semoules – Pâtes;Distribution; 2 400  ;tonnes de produits;0.4%; 4 000  ; 4  
Grandes cultures;Blé dur – Semoules – Pâtes;Consommation; 30 000  ;tonnes de produits;5.0%; 45 000  ; 45  
Grandes cultures;Blé dur – Semoules – Pâtes;Total; 178 700  ;tonnes de produits;18.0%; 162 000  ; 139  
Grandes cultures;Riz;Production; 13 000  ;tonnes;11.0%; 44 000  ; 13  
Grandes cultures;Riz;Transformation; 8 500  ;tonnes;10.0%; 30 000  ; 8  
Grandes cultures;Riz;Distribution; 1 000  ;tonnes;0.4%; 4 000  ; 2  
Grandes cultures;Riz;Consommation; 14 300  ;tonnes;6.0%; 60 000  ; 33  
Grandes cultures;Riz;Total; 36 800  ;tonnes;25.0%; 138 000  ; 56  
Grandes cultures;Orge - Malt - Bière;Production; 83 000  ;tonnes;5.0%; 9 000  ; 14  
Grandes cultures;Orge - Malt - Bière;Transformation; 46 800  ;tonnes;4.5%; 50 000  ; 37  
Grandes cultures;Orge - Malt - Bière;Distribution; 60 000  ;hl de bière;0.3%; 16 000  ; 18  
Grandes cultures;Orge - Malt - Bière;Consommation; 400 000  ;hl de bière;2.0%; 107 000  ; 120  
Grandes cultures;Orge - Malt - Bière;Total; 82 000  ;tonnes;11.0%; 182 000  ; 189  
Grandes cultures;Oléagineux - Huile;Production; 40 000  ;tonnes d'huile;5.0%; 86 000  ; 34  
Grandes cultures;Oléagineux - Huile;Transformation; 27 000  ;tonnes d'huile;4.0%; 45 000  ; 46  
Grandes cultures;Oléagineux - Huile;Distribution; 2 000  ;tonnes d'huile;0.3%; 4 000  ; 6  
Grandes cultures;Oléagineux - Huile;Consommation; 30 000  ;tonnes d'huile;5.0%; 67 000  ; 84  
Grandes cultures;Oléagineux - Huile;Total; 100 000  ;tonnes d'huile;14.0%; 202 000  ; 170  
Grandes cultures;Betterave - Sucre;Production; 100 000  ;tonnes de sucre;3.0%; 22 000  ; 17  
Grandes cultures;Betterave - Sucre;Transformation; 44 000  ;tonnes de sucre;2.0%; 16 000  ; 18  
Grandes cultures;Betterave - Sucre;Distribution; 3 000  ;tonnes de sucre;0.7%; 2 000  ; 3  
Grandes cultures;Betterave - Sucre;Consommation; 66 000  ;tonnes de sucre;3.0%; 45 000  ; 72  
Grandes cultures;Betterave - Sucre;Total; 213 000  ;tonnes de sucre;10.0%; 85 000  ; 110  
Grandes cultures;Pomme de terre;Production; 597 000  ;tonnes;11.0%; 49 000  ; 179  
Grandes cultures;Pomme de terre;Transformation; 443 000  ;tonnes;21.0%; 36 000  ; 443  
Grandes cultures;Pomme de terre;Distribution; 42 600  ;tonnes;1.4%; 25 000  ; 42  
Grandes cultures;Pomme de terre;Consommation; 152 000  ;tonnes;5.0%; 89 000  ; 152  
Grandes cultures;Pomme de terre;Total; 1 234 000  ;tonnes;24.0%; 199 000  ; 816  
Grandes cultures;Ensemble;Production; 1 900 000  ;;5.0%;;
Grandes cultures;Ensemble;Transformation;;;8.0%;;
Grandes cultures;Ensemble;Distribution;;;4.0%;;
Grandes cultures;Ensemble;Consommation;;;5.0%;;
Grandes cultures;Ensemble;Total;;;;;
Légumes;Tomates;Production; 29 100  ;tonnes;4.0%; 33 000  ; 38  
Légumes;Tomates;Transformation; 9 500  ;tonnes;5.0%; 6 000  ; 12  
Légumes;Tomates;Distribution; 32 000  ;tonnes;4.0%; 29 000  ; 77  
Légumes;Tomates;Consommation; 60 000  ;tonnes;8.0%; 55 000  ; 144  
Légumes;Tomates;Total; 131 000  ;tonnes;18.0%; 124 000  ; 271  
Légumes;Carottes;Production; 37 000  ;tonnes;7.0%; 2 500  ; 22  
Légumes;Carottes;Transformation; 4 700  ;tonnes;2.0%; 300  ; 3  
Légumes;Carottes;Distribution; 7 400  ;tonnes;2.4%; 1 900  ; 8  
Légumes;Carottes;Consommation; 36 000  ;tonnes;7.0%; 9 300  ; 40  
Légumes;Carottes;Total; 85 000  ;tonnes;15.0%; 14 000  ; 73  
Légumes;Salades;Production; 105 300  ;tonnes;29.0%; 10 500  ; 168  
Légumes;Salades;Transformation; 24 300  ;tonnes;30.0%; 2 400  ; 39  
Légumes;Salades;Distribution; 20 800  ;tonnes;9.0%; 10 400  ; 96  
Légumes;Salades;Consommation; 54 500  ;tonnes;27.0%; 27 200  ; 250  
Légumes;Salades;Total; 205 000  ;tonnes;57.0%; 51 000  ; 553  
Légumes;Chou-Fleur;Production; 72 000  ;tonnes;24.0%; 23 400  ; 50  
Légumes;Chou-Fleur;Transformation;  NA  ;tonnes;NA;  NA  ;  NA  
Légumes;Chou-Fleur;Distribution; 6 000  ;tonnes;4.0%; 3 000  ; 9  
Légumes;Chou-Fleur;Consommation; 14 400  ;tonnes;8.0%; 7 400  ; 21  
Légumes;Chou-Fleur;Total; 92 000  ;tonnes;31.0%; 34 000  ; 80  
Légumes;Endives;Production; 38 000  ;tonnes;20.0%; 13 300  ; 45  
Légumes;Endives;Transformation;  NA  ; NA ;NA;  NA  ;  NA  
Légumes;Endives;Distribution; 6 000  ;tonnes;4.0%; 4 400  ; 14  
Légumes;Endives;Consommation; 11 400  ;tonnes;8.0%; 8 300  ; 26  
Légumes;Endives;Total; 55 000  ;tonnes;30.0%; 26 000  ; 85  
Légumes;Haricots verts et petits pois;Production; 24 000  ;tonnes;4.3%; 9 000  ; 43  
Légumes;Haricots verts et petits pois;Transformation; 16 000  ;tonnes;3.0%; 6 200  ; 30  
Légumes;Haricots verts et petits pois;Distribution; 500  ;tonnes;0.1%; 400  ; 1  
Légumes;Haricots verts et petits pois;Consommation; 15 500  ;tonnes;3.0%; 11 200  ; 38  
Légumes;Haricots verts et petits pois;Total; 56 000  ;tonnes;10.0%; 27 000  ; 112  
Légumes;Oignons;Production; 76 000  ;tonnes;20.0%; 8 000  ; 53  
Légumes;Oignons;Transformation; 30 000  ;tonnes;19.0%; 3 000  ; 21  
Légumes;Oignons;Distribution; 10 300  ;tonnes;5.4%; 5 000  ; 16  
Légumes;Oignons;Consommation; 18 000  ;tonnes;10.0%; 9 000  ; 29  
Légumes;Oignons;Total; 134 000  ;tonnes;35.0%; 25 000  ; 119  
Légumes;Melons;Production; 7 500  ;tonnes;3.0%; 900  ; 7  
Légumes;Melons;Transformation; NA ;NA;NA; NA ; NA 
Légumes;Melons;Distribution; 17 000  ;tonnes;4.0%; 5 300  ; 31  
Légumes;Melons;Consommation; 21 000  ;tonnes;5.0%; 6 600  ; 38  
Légumes;Melons;Total; 13 000  ;tonnes;11.0%; 13 000  ; 76  
Légumes;Ensemble;Production; 625 000  ;;11.0%;;
Légumes;Ensemble;Transformation;;;7.0%;;
Légumes;Ensemble;Distribution;;;4.0%;;
Légumes;Ensemble;Consommation;;;8.0%;;
Légumes;Ensemble;Total;;;;;
Fruits;Pomme de table;Production; 133 000  ;tonnes;8.0%; 9 300  ; 106  
Fruits;Pomme de table;Transformation; 1 400  ;tonnes;1.0%; 100  ; 1  
Fruits;Pomme de table;Distribution; 38 000  ;tonnes;4.0%; 28 900  ; 76  
Fruits;Pomme de table;Consommation; 50 000  ;tonnes;5.0%; 38 000  ; 100  
Fruits;Pomme de table;Total; 76 000  ;tonnes;15.0%; 76 000  ; 283  
Fruits;Poire de table;Production; 11 400  ;tonnes;8.0%; 800  ; 11  
Fruits;Poire de table;Transformation; 200  ;tonnes;1.0%; 14  ; -    
Fruits;Poire de table;Distribution; 14 000  ;tonnes;7.0%; 9 700  ; 35  
Fruits;Poire de table;Consommation; 18 600  ;tonnes;10.0%; 12 800  ; 46  
Fruits;Poire de table;Total; 44 000  ;tonnes;23.0%; 23 000  ; 92  
Fruits;Bananes;Production; 46 300  ;tonnes;17.0%; 8 200  ; 32  
Fruits;Bananes;Transformation;  NA  ; NA ; NA ;  NA  ;  NA  
Fruits;Bananes;Distribution; 33 000  ;tonnes;6.0%; 23 000  ; 54  
Fruits;Bananes;Consommation; 49 000  ;tonnes;10.0%; 34 200  ; 81  
Fruits;Bananes;Total; 128 000  ;tonnes;29.0%; 65 000  ; 167  
Fruits;Pêches, nectarines, prunes et abricots;Production; 77 800  ;tonnes;16.0%; 13 200  ; 117  
Fruits;Pêches, nectarines, prunes et abricots;Transformation; 300  ;tonnes;1.0%; 51  ; 1  
Fruits;Pêches, nectarines, prunes et abricots;Distribution; 31 000  ;tonnes;8.0%; 13 300  ; 90  
Fruits;Pêches, nectarines, prunes et abricots;Consommation; 36 000  ;tonnes;10.0%; 15 500  ; 104  
Fruits;Pêches, nectarines, prunes et abricots;Total; 145 000  ;tonnes;30.0%; 42 000  ; 311  
Fruits;Fraises;Production; 2 800  ;tonnes;5.0%; 1 600  ; 17  
Fruits;Fraises;Transformation; 500  ;tonnes;1.0%; 300  ; 3  
Fruits;Fraises;Distribution; 12 500  ;tonnes;10.0%; 15 100  ; 100  
Fruits;Fraises;Consommation; 13 000  ;tonnes;12.0%; 15 700  ; 104  
Fruits;Fraises;Total; 29 000  ;tonnes;25.0%; 33 000  ; 224  
Fruits;Cerises;Production; 4 100  ;tonnes;11.0%; 1 300  ; 12  
Fruits;Cerises;Transformation; 70  ;tonnes;1.0%; 22  ; -    
Fruits;Cerises;Distribution; 2 900  ;tonnes;10.0%; 12 200  ; 17  
Fruits;Cerises;Consommation; 2 600  ;tonnes;10.0%; 10 900  ; 16  
Fruits;Cerises;Total; 10 000  ;tonnes;27.0%; 24 000  ; 45  
Fruits;Ensemble;Production;;;11.0%;;
Fruits;Ensemble;Transformation;;;2.0%;;
Fruits;Ensemble;Distribution;;;4.0%;;
Fruits;Ensemble;Consommation;;;8.0%;;
Fruits;Ensemble;Total;;;;;
Produits animaux;Lait et produits laitiers;Production; 130  ; ML de lait ;0.5%; 127 000  ; 42  
Produits animaux;Lait et produits laitiers;Transformation; 740  ; ML de lait ;3.0%; 722 000  ; 407  
Produits animaux;Lait et produits laitiers;Distribution; 350  ; ML de lait ;2.0%; 441 000  ; 315  
Produits animaux;Lait et produits laitiers;Consommation; 1 710  ; ML de lait ;10.0%; 2 155 000  ; 1 540  
Produits animaux;Lait et produits laitiers;Total; 2 903  ; ML de lait ;15.0%; 3 440 000  ; 2 300  
Produits animaux;Œufs;Production; 292  ; Moeufs ;2.0%; 34 000  ; 15  
Produits animaux;Œufs;Transformation; 400  ; Moeufs ;3.0%; 47 000  ; 40  
Produits animaux;Œufs;Distribution; 156  ; Moeufs ;2.0%; 21 000  ; 28  
Produits animaux;Œufs;Consommation; 153  ; Moeufs ;2.0%; 21 000  ; 27  
Produits animaux;Œufs;Total; 1 000  ; Moeufs ;9.0%; 123 000  ; 110  
Produits animaux;Volaille;Production; 37 000  ; tec volailles ;2.0%; 101 000  ; 48  
Produits animaux;Volaille;Transformation; 171 000  ; tec volailles ;9.0%; 768 000  ; 374  
Produits animaux;Volaille;Distribution; 105 000  ; tec volailles ;6.3%; 523 000  ; 456  
Produits animaux;Volaille;Consommation; 77 000  ; tec volailles ;5.0%; 383 000  ; 336  
Produits animaux;Volaille;Total; 390 000  ; tec volailles ;21.0%; 1 775 000  ; 1 214  
Produits animaux;Bovins et porcins;Production; 36 500  ; tec bœufs et porcs ;1.0%; 259 000  ; 109  
Produits animaux;Bovins et porcins;Transformation; 48 000  ; tec bœufs et porcs ;1.3%; 653 000  ; 193  
Produits animaux;Bovins et porcins;Distribution; 99 700  ; tec bœufs et porcs ;3.4%; 1 407 000  ; 725  
Produits animaux;Bovins et porcins;Consommation; 173 300  ; tec bœufs et porcs ;5.0%; 2 445 000  ; 1 260  
Produits animaux;Bovins et porcins;Total; 360 000  ; tec bœufs et porcs ;10.0%; 4 765 000  ; 2 287  
Produits animaux;Pêche maritime et aquaculture;Production; 143 600  ; tonnes ;22.5%; 615 000  ; 431  
Produits animaux;Pêche maritime et aquaculture;Transformation; 51 800  ; tonnes ;3.5%; 391 000  ; 414  
Produits animaux;Pêche maritime et aquaculture;Distribution; 76 300  ; tonnes ;3.5%; 653 000  ; 1 025  
Produits animaux;Pêche maritime et aquaculture;Consommation; 83 400  ; tonnes ;4.0%; 746 000  ; 1 168  
Produits animaux;Pêche maritime et aquaculture;Total; 352 000  ; tonnes ;30.0%; 2 406 000  ; 3 038  
Produits animaux;Ensemble;Production;;;1.0%;;
Produits animaux;Ensemble;Transformation;;;3.0%;;
Produits animaux;Ensemble;Distribution;;;3.0%;;
Produits animaux;Ensemble;Consommation;;;8.0%;;
Produits animaux;Ensemble;Total;;;;;
Gobal;Ensemble;Production;;;4.0%;;
Gobal;Ensemble;Transformation;;;4.5%;;
Gobal;Ensemble;Distribution;;;3.3%;;
Gobal;Ensemble;Consommation;;;7.3%;;
Gobal;Ensemble;Total;;;;;